gen1_ID,MID,hatch_date,wing_date,death_date,pop,sex,S-wing,viable,test_date,test_temp,test_age,rand
1178,92,,,?,GV,,,,,,,0.758556427
1179,92,8.27.21,,?,GV,,,,,,,0.136686009
1180,92,,,?,GV,,,,,,,0.117822722
1181,92,,,?,GV,,,,,,,0.721748917
1182,92,,,?,GV,,,,,,,0.54544465
1183,92,,,?,GV,,,,,,,0.561461367
1184,92,8.25.21,,?,GV,,,,,,,0.322650333
1185,92,,,8.29.21,GV,,,,,,,0.184212539
1186,92,,,?,GV,,,,,,,0.626736811
1187,92,,,?,GV,,,,,,,0.353846158
1188,92,8.27.21,,?,GV,,,,,,,0.021008434
1189,92,8.26.21,,?,GV,,,,,,,0.321298488
1190,92,,,?,GV,,,,,,,0.111118855
1191,92,8.27.21,,9.11.21,GV,,,,,,,0.353775704
1192,92,,,?,GV,,,,,,,0.096129035
1193,92,8.26.21,,?,GV,,,,,,,0.432573057
1194,92,8.27.21,,?,GV,,,,,,,0.736482451
1195,92,8.26.21,,?,GV,,,,,,,0.92870527
1196,92,8.27.21,,?,GV,,,,,,,0.53759383
1197,92,,,?,GV,,,,,,,0.172247549
1198,92,,,?,GV,,,,,,,0.513363826
1199,92,,,?,GV,,,,,,,0.740609491
1200,92,8.27.21,,?,GV,,,,,,,0.457549954
1201,92,8.27.21,,?,GV,,,,,,,0.346804589
1202,92,,,?,GV,,,,,,,0.640768794
1203,20,,9.25.21,,KL,,,Y,9/25/21,,,0.382811282
1204,20,,9.23.21,,KL,,,Y,9/23/21,,,0.143227603
1205,114,,,9.9.21,KL,,,Y,,,,0.822366215
1206,114,8.25.21,9.25.21,,KL,F,N,Y,9/25/21,,,0.531662991
1207,114,8.25.21,,9.11.21,KL,,,Y,,,,0.129815508
1208,114,hatch_date,9.30.21,,KL,F,N,Y,9/30/21,,,0.175086789
1209,114,9.8.21,9.26.21,,KL,F,Y,Y,9/26/21,,,0.551922273
1210,114,8.29.21,9.28.21,,KL,M,N,Y,9/28/21,,,0.781996907
1211,114,9.2.21,9.29.21,,KL,M,N,Y,9/29/21,,,0.031141717
1212,114,8.31.21,9.29.21,,KL,F,N,Y,9/29/21,,,0.118484282
1213,114,9.2.21,9.28.21,,KL,F,Y,Y,9/28/21,,,0.757951414
1214,114,8.30.21,9.29.21,,KL,F,N,Y,9/29/21,,,0.037495585
1215,114,9.1.21,9.28.21,,KL,M,N,Y,9/28/21,,,0.181138674
1216,114,8.31.21,,9.9.21,KL,,,Y,,,,0.12915947
1217,114,9.2.21,,,KL,,,,,,,0.115079307
1218,114,9.2.21,9.29.21,,KL,M,N,Y,9/29/21,,,0.044949138
1219,114,9.2.21,9.29.21,,KL,M,N,Y,9/29/21,,,0.549181276
1220,114,9.8.21,,9.9.21,KL,,,Y,,,,0.134635895
1221,114,,,9.9.21,KL,,,Y,,,,0.479588916
1222,114,9.1.21,,9.9.21,KL,,,Y,,,,0.642825006
1223,114,8.31.21,,,KL,,,Y,,,,0.971424868
1224,114,9.8.21,,9.9.21,KL,,,Y,,,,0.697854801
1225,114,9.8.21,10.01.21,,KL,F,N,Y,10/01/21,,,0.498284629
1226,114,9.8.21,,9.9.21,KL,,,Y,,,,0.594758098
1227,114,9.1.21,10.01.21,,KL,M,N,Y,10/01/21,,,0.464123743
1228,114,9.8.21,9.25.21,,KL,M,Y,Y,9/25/21,,,0.253525385
1229,114,9.1.21,,9.9.21,KL,,,Y,,,,0.072995527
1230,114,9.8.21,,,KL,,,N,,,,0.037141094
1231,114,9.2.21,9.27.21,,KL,M,N,Y,9/27/21,,,0.84993293
1232,114,9.1.21,,9.9.21,KL,,,Y,,,,0.764682012
1233,114,9.8.21,9.28.21,,KL,F,N,Y,9/28/21,,,0.372933679
1234,114,,9.27.21,,KL,M,N,Y,9/27/21,,,0.797588358
1235,114,8.31.21,9.24.21,,KL,F,N,Y,9/24/21,,,0.386801988
1236,114,9.8.21,10.04.21,,KL,M,N,Y,10/04/21,,,0.66544831
1237,114,9.1.21,10.04.21,,KL,M,N,,10/04/21,,,0.864661083
1238,114,8.31.21,,9.9.21,KL,,,Y,,,,0.508805881
1239,114,8.29.21,,,KL,,,N,,,,0.136075271
1240,114,9.1.21,9.28.21,,KL,M,N,Y,9/28/21,,,0.924611419
1241,114,,,9.9.21,KL,,,Y,,,,0.613388157
1242,114,9.8.21,,9.9.21,KL,,,Y,,,,0.578184788
1243,114,,,9.9.21,KL,,,Y,,,,0.091147291
1244,114,8.30.21,9.27.21,,KL,F,N,Y,9/27/21,,,0.956928225
1245,114,9.8.21,,9.11.21,KL,,,Y,,,,0.841546764
1246,114,9.8.21,,,KL,,,,,,,0.310673123
1247,114,9.8.21,,,KL,,,,,,,0.881828056
1248,114,9.2.21,,,KL,,,,,,,0.522076572
1249,114,8.30.21,9.28.21,,KL,M,N,Y,9/28/21,,,0.450870647
1250,114,,,9.11.21,KL,,,Y,,,,0.480331275
1251,114,,,9.9.21,KL,,,Y,,,,0.237407102
1252,114,,10.04.21,,KL,F,N,Y,10/04/21,,,0.986488749
1253,114,8.30.21,,9.9.21,KL,,,Y,,,,0.585544229
1254,114,9.9.21,,9.9.21,KL,,,Y,,,,0.266735479
1255,16,9.8.21,9.25.21,,KL,F,N,Y,9/25/21,,,0.971602942
1256,16,8.30.21,9.25.21,,KL,M,N,Y,9/25/21,,,0.102655639
1257,16,9.8.21,9.28.21,,KL,M,Y,Y,9/28/21,,,0.684272684
1258,16,9.8.21,,9.9.21,KL,,,Y,,,,0.563201733
1259,16,9.1.21,9.28.21,,KL,F,Y,Y,9/28/21,,,0.205335032
1260,16,hatch_date,10.04.21,,KL,M,N,Y,10/04/21,,,0.374659797
1261,16,8.29.21,,9.9.21,KL,,,Y,,,,0.076092304
1262,16,9..21,9.27.21,,KL,F,N,Y,9/27/21,,,0.382754228
1263,16,9.8.21,,9.9.21,KL,,,Y,,,,0.160403997
1264,16,8.31.21,,,KL,F,Y,Y,,,,0.64414503
1265,16,8.30.21,9.25.21,,KL,F,Y,Y,9/25/21,,,0.484836479
1266,16,9.8.21,,9.9.21,KL,,,Y,,,,0.725585802
1267,16,9.2.21,,9.9.21,KL,,,Y,,,,0.679030195
1268,16,9.8.21,9.27.21,,KL,M,N,Y,9/27/21,,,0.079594955
1269,16,8.30.21,9.27.21,,KL,F,N,Y,9/27/21,,,0.207760097
1270,16,8.29.21,,,KL,,,Y,,,,0.685771736
1271,16,9.8.21,,9.9.21,KL,,,Y,,,,0.682025186
1272,16,9.8.21,9.27.21,,KL,M,N,Y,9/27/21,,,0.880744583
1273,16,8.29.21,9.29.21,,KL,M,N,Y,9/29/21,,,0.456504244
1274,16,9.2.21,9.30.21,,KL,F,N,Y,9/30/21,,,0.468721507
1275,16,9.9.21,10.04.21,10.04.21,KL,M,N,Y,10/04/21,,,0.624963137
1276,16,9.8.21,,9.9.21,KL,,,Y,,,,0.554561951
1277,16,9.2.21,,9.9.21,KL,,,Y,,,,0.843738578
1278,16,8.31.21,,9.9.21,KL,,,Y,,,,0.972041048
1279,16,9.2.21,,9.9.21,KL,,,Y,,,,0.740976364
1280,16,9.2.21,,9.9.21,KL,,,Y,,,,0.216402145
1281,16,9.8.21,9.28.21,,KL,M,Y,Y,9/28/21,,,0.00693024
1282,16,9.8.21,10.04.21,,KL,M,Y,Y,10/04/21,,,0.394719171
1283,16,9.8.21,9.25.21,,KL,M,N,Y,9/25/21,,,0.511303802
1284,16,9.8.21,10.04.21,,KL,M,N,Y,10/04/21,,,0.486275445
1285,16,9.8.21,9.30.21,,KL,M,N,Y,9/30/21,,,0.745032689
1286,16,8.29.21,9.27.21,,KL,M,Y,Y,9/27/21,,,0.929882136
1287,16,8.31.21,9.28.21,,KL,M,N,Y,9/28/21,,,0.532906475
1288,16,8.29.21,10.01.21,,KL,F,N,Y,10/01/21,,,0.69608944
1289,16,8.31.21,9.28.21,,KL,F,Y,Y,9/28/21,,,0.611784466
1290,16,9.1.21,9.27.21,,KL,M,Y,Y,9/27/21,,,0.211875202
1291,16,9.1.21,9.29.21,,KL,F,N,Y,9/29/21,,,0.607785532
1292,16,9.1.21,10.04.21,,KL,M,N,Y,10/04/21,,,0.95173721
1293,16,9.2.21,9.27.21,,KL,M,N,Y,9/27/21,,,0.987524203
1294,16,8.29.21,9.28.21,,KL,F,Y,Y,9/28/21,,,0.743571207
1295,16,9.2.21,,9.21.21,KL,,,Y,,,,0.725982469
1296,16,8.31.21,9.26.21,,KL,F,N,Y,9/26/21,,,0.650681353
1297,16,8.30.21,,9.1.21,KL,,,Y,,,,0.826329401
1298,16,8.29.21,,,KL,,,,,,,0.752647297
1299,16,8.31.21,,9.21.21,KL,,,Y,,,,0.890723169
1300,16,8.29.21,9.24.21,,KL,M,N,Y,9/24/21,,,0.967775368
1301,16,8.29.21,,9.9.21,KL,,,Y,,,,0.026985648
1302,16,,10.01.21,,KL,M,N,Y,10/01/21,,,0.735031864
1303,16,,9.28.21,,KL,M,Y,Y,9/28/21,,,0.663293397
1304,16,9.1.21,,9.9.21,KL,,,Y,,,,0.857859107
1305,16,8.29.21,9.26.21,,KL,M,N,Y,9/26/21,,,0.17588318
1306,16,9.8.21,,9.9.21,KL,,,Y,,,,0.417977304
1307,16,8.31.21,9.25.21,,KL,M,N,Y,9/25/21,,,0.645450129
1308,16,9.2.21,9.25.21,,KL,F,Y,Y,9/25/21,,,0.681159325
1309,16,9.8.21,,9.8.21,KL,,,Y,,,,0.488011598
1310,16,8.29.21,,,KL,,,Y,,,,0.027600768
1311,16,9.8.21,10.05.21,,KL,F,N,Y,10/05/21,,,0.237131035
1312,16,hatch_date,9.28.21,,KL,M,N,Y,9/28/21,,,0.762894975
1313,16,9.1.21,,9.9.21,KL,,,Y,,,,0.492092036
1314,16,9.2.21,9.30.21,,KL,F,N,Y,9/30/21,,,0.466873757
1315,16,9.8.21,10.04.21,,KL,M,N,Y,10/04/21,,,0.111203726
1316,16,9.9.21,,9.21.21,KL,,,Y,,,,0.325664411
1317,16,9.9.21,,9.9.21,KL,,,Y,,,,0.84613852
1318,16,9.2.21,9.28.21,,KL,M,N,Y,9/28/21,,,0.41365258
1319,16,9.8.21,9.28.21,,KL,M,N,Y,9/28/21,,,0.514266609
1320,16,8.29.21,,9.9.21,KL,,,Y,,,,0.651205611
1321,16,9.1.21,,,KL,F,Y,Y,,,,0.616050691
1322,16,9.2.21,9.29.21,,KL,M,N,Y,9/29/21,,,0.57663346
1323,16,9.8.21,,9.9.21,KL,,,Y,,,,0.652705071
1324,16,8.29.21,,9.9.21,KL,,,Y,,,,0.905106231
1325,16,8.31.21,,9.21.21,KL,,,Y,,,,0.298546764
1326,16,9.8.21,,9.9.21,KL,,,Y,,,,0.715359696
1327,16,8.29.21,,9.9.21,KL,,,Y,,,,0.715160241
1328,16,9.2.21,,9.9.21,KL,,,Y,,,,0.774407443
1329,16,9.8.21,,,KL,,,Y,,,,0.455585091
1330,16,9.8.21,,9.9.21,KL,,,Y,,,,0.17055858
1331,16,9.9.21,,9.11.21,KL,,,Y,,,,0.107084687
1332,16,9.8.21,9.27.21,,KL,F,Y,Y,9/27/21,,,0.349667054
1333,16,9.8.21,,9.9.21,KL,,,Y,,,,0.644746249
1334,16,9.8.21,,9.9.21,KL,,,Y,,,,0.398720177
1335,16,9.9.21,9.24.21,,KL,M,N,Y,9/24/21,,,0.26880888
1336,16,9.8.21,,9.21.21,KL,,,Y,,,,0.969114192
1337,16,8.29.21,,9.9.21,KL,,,Y,,,,0.407823635
1338,16,9.2.21,9.27.21,,KL,F,Y,Y,9/27/21,,,0.480876968
1339,118,9.8.21,9.26.21,,KL,M,N,Y,9/26/21,,,0.400723618
1340,118,9.8.21,,9.9.21,KL,,,Y,,,,0.629908987
1341,118,9.2.21,,,KL,,,,,,,0.056128938
1342,118,9.9.21,9.26.21,,KL,M,Y,Y,9/26/21,,,0.705390605
1343,118,9.8.21,,9.11.21,KL,,,Y,,,,0.261445835
1344,118,9.2.21,9.27.21,,KL,M,Y,Y,9/27/21,,,0.220218817
1345,118,9.2.21,,9.9.21,KL,,,Y,,,,0.779149409
1346,118,9.8.21,9.29.21,,KL,M,N,Y,9/29/21,,,0.042024939
1347,118,,,,KL,,,Y,,,,0.232173687
1348,118,9.2.21,9.29.21,9.9.21,KL,F,Y,Y,9/29/21,,,0.157569591
1349,118,9.2.21,,9.9.21,KL,,,Y,,,,0.356987658
1350,118,8.31.21,,,KL,,,Y,,,,0.93515504
1351,118,9.8.21,,9.9.21,KL,,,Y,,,,0.541128624
1352,118,9.1.21,9.29.21,,KL,M,N,Y,9/29/21,,,0.498099707
1353,118,9.9.21,9.28.21,,KL,F,N,Y,9/28/21,,,0.250697857
1354,118,9.8.21,9.29.21,,KL,M,Y,Y,9/29/21,,,0.167038429
1355,118,9.8.21,,,KL,,,N,,,,0.735807573
1356,118,9.9.21,9.29.21,,KL,F,N,Y,9/29/21,,,0.958386268
1357,118,9.8.21,,9.9.21,KL,,,Y,,,,0.713932522
1358,118,8.31.21,,9.9.21,KL,,,Y,,,,0.824086521
1359,118,9.1.21,9.25.21,,KL,F,Y,Y,9/25/21,,,0.271579657
1360,118,9.2.21,9.29.21,,KL,M,N,Y,9/29/21,,,0.208604709
1361,118,,,9.9.21,KL,,,Y,,,,0.159004018
1362,118,8.31.21,9.28.21,,KL,F,Y,Y,9/28/21,,,0.672902909
1363,118,9.8.21,,9.9.21,KL,,,Y,,,,0.587107884
1364,118,hatch_date,,10.04.21,KL,,,Y,,,,0.340833232
1365,118,9.8.21,10.06.21,,KL,M,N,Y,10/06/21,,,0.230012931
1366,118,9.1.21,10.04.21,,KL,F,Y,Y,10/04/21,,,0.992902343
1367,118,8.31.21,,9.9.21,KL,,,Y,,,,0.382184346
1368,118,9.8.21,9.28.21,,KL,F,Y,Y,9/28/21,,,0.03630893
1369,118,8.31.21,,9.9.21,KL,,,Y,,,,0.538298587
1370,118,9.8.21,9.28.21,,KL,M,Y,Y,9/28/21,,,0.245700619
1371,118,9.9.21,,,KL,,,N,,,,0.917834314
1372,118,9.9.21,,9.11.21,KL,,,Y,,,,0.192065333
1373,118,9.9.21,9.26.21,,KL,F,Y,Y,9/26/21,,,0.66534927
1374,118,9.8.21,,,KL,,,N,,,,0.644548817
1375,118,8.31.21,10.06.21,,KL,M,Y,Y,10/06/21,,,0.774839469
