gen1_ID,MID,hatch_date,wing_date,pop,sex,S.wing,viable,test_date,test_temp,test_age,rand,cohort
1046,16,8.29.21,9.27.21,KL,F,N,Y,9/27/21,NA,NA,0.622128735,2
1047,16,8.20.21,9.25.21,KL,M,N,Y,9/25/21,NA,NA,0.960577995,2
1048,16,8.27.21,9.26.21,KL,F,N,Y,9/26/21,NA,NA,0.973851669,2
1049,16,8.27.21,9.25.21,KL,F,N,Y,9/25/21,NA,NA,0.866691588,2
1053,16,8.27.21,9.26.21,KL,M,N,Y,9/26/21,NA,NA,0.464526658,2
1056,16,8.29.21,9.26.21,KL,F,Y,Y,9/26/21,NA,NA,0.469946987,2
1061,16,8.27.21,9.26.21,KL,F,Y,Y,9/26/21,NA,NA,0.796635186,2
1087,118,8.27.21,9.27.21,KL,M,N,Y,9/27/21,NA,NA,0.410760027,2
1092,118,,9.27.21,KL,M,Y,Y,9/27/21,NA,NA,0.29983852,2
1104,114,hatch_date,9.27.21,KL,M,N,Y,9/27/21,NA,NA,0.574750958,2
1105,114,,9.25.21,KL,F,N,Y,9/25/21,NA,NA,0.033149469,2
1108,114,8.29.21,9.27.21,KL,M,N,Y,9/27/21,NA,NA,0.527674991,2
1114,114,8.29.21,9.25.21,KL,M,N,Y,9/25/21,NA,NA,0.726486673,2
1117,114,,9.25.21,KL,M,N,Y,9/25/21,NA,NA,0.22325971,2
1118,114,8.29.21,9.25.21,KL,F,N,Y,9/25/21,NA,NA,0.342190853,2
1120,114,8.29.21,9.27.21,KL,M,N,Y,9/27/21,NA,NA,0.802754317,2
1121,114,8.29.21,9.26.21,KL,F,N,Y,9/26/21,NA,NA,0.784008874,2
1122,114,8.29.21,9.27.21,KL,M,N,Y,9/27/21,NA,NA,0.235539515,2
1123,114,8.29.21,9.26.21,KL,F,N,Y,9/26/21,NA,NA,0.067608446,2
1140,119,8.26.21,9.25.21,KL,M,N,Y,9/25/21,NA,NA,0.173800232,2
1161,329,,9.25.21,PK,F,N,Y,9/25/21,NA,NA,0.914768291,2
1164,329,8.30.21,9.27.21,PK,F,Y,Y,9/27/21,NA,NA,0.086244236,2
1166,329,8.30.21,9.27.21,PK,M,Y,Y,9/27/21,NA,NA,0.743158533,2
1168,329,8.30.21,9.26.21,PK,F,N,Y,9/26/21,NA,NA,0.58908731,2
1169,329,8.30.21,9.26.21,PK,F,N,Y,9/26/21,NA,NA,0.563798487,2
1170,329,8.29.21,9.27.21,PK,F,Y,Y,9/27/21,NA,NA,0.783618321,2
1203,20,,9.25.21,KL,,,Y,9/25/21,NA,NA,0.382811282,2
1206,114,8.25.21,9.25.21,KL,F,N,Y,9/25/21,NA,NA,0.531662991,2
1209,114,9.8.21,9.26.21,KL,F,Y,Y,9/26/21,NA,NA,0.551922273,2
1228,114,9.8.21,9.25.21,KL,M,Y,Y,9/25/21,NA,NA,0.253525385,2
1231,114,9.2.21,9.27.21,KL,M,N,Y,9/27/21,NA,NA,0.84993293,2
1234,114,,9.27.21,KL,M,N,Y,9/27/21,NA,NA,0.797588358,2
1244,114,8.30.21,9.27.21,KL,F,N,Y,9/27/21,NA,NA,0.956928225,2
1255,16,9.8.21,9.25.21,KL,F,N,Y,9/25/21,NA,NA,0.971602942,2
1256,16,8.30.21,9.25.21,KL,M,N,Y,9/25/21,NA,NA,0.102655639,2
1262,16,9..21,9.27.21,KL,F,N,Y,9/27/21,NA,NA,0.382754228,2
1265,16,8.30.21,9.25.21,KL,F,Y,Y,9/25/21,NA,NA,0.484836479,2
1268,16,9.8.21,9.27.21,KL,M,N,Y,9/27/21,NA,NA,0.079594955,2
1269,16,8.30.21,9.27.21,KL,F,N,Y,9/27/21,NA,NA,0.207760097,2
1272,16,9.8.21,9.27.21,KL,M,N,Y,9/27/21,NA,NA,0.880744583,2
1283,16,9.8.21,9.25.21,KL,M,N,Y,9/25/21,NA,NA,0.511303802,2
1286,16,8.29.21,9.27.21,KL,M,Y,Y,9/27/21,NA,NA,0.929882136,2
1290,16,9.1.21,9.27.21,KL,M,Y,Y,9/27/21,NA,NA,0.211875202,2
1293,16,9.2.21,9.27.21,KL,M,N,Y,9/27/21,NA,NA,0.987524203,2
1296,16,8.31.21,9.26.21,KL,F,N,Y,9/26/21,NA,NA,0.650681353,2
1305,16,8.29.21,9.26.21,KL,M,N,Y,9/26/21,NA,NA,0.17588318,2
1307,16,8.31.21,9.25.21,KL,M,N,Y,9/25/21,NA,NA,0.645450129,2
1308,16,9.2.21,9.25.21,KL,F,Y,Y,9/25/21,NA,NA,0.681159325,2
1332,16,9.8.21,9.27.21,KL,F,Y,Y,9/27/21,NA,NA,0.349667054,2
1338,16,9.2.21,9.27.21,KL,F,Y,Y,9/27/21,NA,NA,0.480876968,2
1339,118,9.8.21,9.26.21,KL,M,N,Y,9/26/21,NA,NA,0.400723618,2
1342,118,9.9.21,9.26.21,KL,M,Y,Y,9/26/21,NA,NA,0.705390605,2
1344,118,9.2.21,9.27.21,KL,M,Y,Y,9/27/21,NA,NA,0.220218817,2
1359,118,9.1.21,9.25.21,KL,F,Y,Y,9/25/21,NA,NA,0.271579657,2
1373,118,9.9.21,9.26.21,KL,F,Y,Y,9/26/21,NA,NA,0.66534927,2
1382,119,,9.27.21,KL,M,N,Y,9/27/21,NA,NA,0.489640458,2
1385,119,8.31.21,9.25.21,KL,M,Y,Y,9/25/21,NA,NA,0.491469075,2
1395,329,9.8.21,9.26.21,PK,F,N,Y,9/26/21,NA,NA,0.794982077,2
1400,329,,9.27.21,PK,M,N,Y,9/27/21,NA,NA,0.986375309,2
1403,329,9.8.21,9.25.21,PK,M,N,Y,9/25/21,NA,NA,0.829652941,2
