gen1_ID,MID,test_date,test_temp,test_age,wing_date,randomizer,Cohort,week
1064,16,10/13/21,20,20,9/23/21,0.200963038,1,1
1204,20,10/13/21,20,20,9/23/21,0.561828441,1,1
1074,118,10/13/21,20,20,9/23/21,0.304728124,1,1
1072,118,10/13/21,20,20,9/23/21,0.787008733,1,1
1134,119,10/13/21,20,20,9/23/21,0.359339388,1,1
1129,119,10/13/21,20,20,9/23/21,0.881516741,1,1
1026,119,10/13/21,20,20,9/23/21,0.455152449,1,1
1335,16,10/13/21,20,19,9/24/21,0.015895042,1,1
1300,16,10/13/21,20,19,9/24/21,0.876845146,1,1
1086,118,10/13/21,20,19,9/24/21,0.552112408,1,1
1077,118,10/13/21,20,19,9/24/21,0.556943985,1,1
1139,119,10/13/21,20,19,9/24/21,0.561078312,1,1
1397,329,10/13/21,20,19,9/24/21,0.319983275,1,1
1451,329,10/13/21,20,19,9/24/21,0.714001973,1,1
1390,329,10/13/21,20,19,9/24/21,0.650613166,1,1
1142,335,10/13/21,20,19,9/24/21,0.025260815,1,1
1307,16,10/14/21,40,19,9/25/21,0.868000325,2,1
1308,16,10/14/21,40,19,9/25/21,0.99492896,2,1
1049,16,10/14/21,40,19,9/25/21,0.624428903,2,1
1265,16,10/14/21,40,19,9/25/21,0.449618649,2,1
1114,114,10/14/21,40,19,9/25/21,0.700173897,2,1
1105,114,10/14/21,40,19,9/25/21,0.022719731,2,1
1118,114,10/14/21,40,19,9/25/21,0.924292798,2,1
1117,114,10/14/21,40,19,9/25/21,0.961618919,2,1
1030,119,10/14/21,40,19,9/25/21,0.567656376,2,1
1140,119,10/14/21,40,19,9/25/21,0.348157777,2,1
1433,329,10/14/21,40,19,9/25/21,0.929271742,2,1
1416,329,10/14/21,40,19,9/25/21,0.002192133,2,1
1405,329,10/14/21,40,19,9/25/21,0.360767978,2,1
1041,16,10/14/21,40,18,9/26/21,0.645994702,2,1
1061,16,10/14/21,40,18,9/26/21,0.949648849,2,1
1053,16,10/14/21,40,18,9/26/21,0.404924956,2,1
1056,16,10/14/21,40,18,9/26/21,0.620943159,2,1
1020,114,10/14/21,40,18,9/26/21,0.960085386,2,1
1209,114,10/14/21,40,18,9/26/21,0.698883989,2,1
1373,118,10/14/21,40,18,9/26/21,0.402688657,2,1
1339,118,10/14/21,40,18,9/26/21,0.510246839,2,1
1169,329,10/14/21,40,18,9/26/21,0.49400567,2,1
1395,329,10/14/21,40,18,9/26/21,0.066932046,2,1
1268,16,10/14/21,40,17,9/27/21,0.150304609,2,1
1046,16,10/14/21,40,17,9/27/21,0.797488471,2,1
1272,16,10/14/21,40,17,9/27/21,0.086870264,2,1
1269,16,10/14/21,40,17,9/27/21,0.114917572,2,1
1286,16,10/14/21,40,17,9/27/21,0.842796285,2,1
1293,16,10/14/21,40,17,9/27/21,0.438721501,2,1
1338,16,10/14/21,40,17,9/27/21,0.978279308,2,1
1112,114,10/14/21,40,17,9/27/21,0.278240709,2,1
1108,114,10/14/21,40,17,9/27/21,0.595314444,2,1
1122,114,10/14/21,40,17,9/27/21,0.45953513,2,1
1104,114,10/14/21,40,17,9/27/21,0.687261574,2,1
1092,118,10/14/21,40,17,9/27/21,0.512521214,2,1
1166,329,10/14/21,40,17,9/27/21,0.418474861,2,1
1429,329,10/14/21,40,17,9/27/21,0.409854378,2,1
1170,329,10/14/21,40,17,9/27/21,0.512096561,2,1
1256,16,10/15/21,28,20,9/25/21,0.125824178,2,1
1051,16,10/15/21,28,20,9/25/21,0.921603204,2,1
1255,16,10/15/21,28,20,9/25/21,0.853182461,2,1
1283,16,10/15/21,28,20,9/25/21,0.783632894,2,1
1047,16,10/15/21,28,20,9/25/21,0.323745415,2,1
1203,20,10/15/21,28,20,9/25/21,0.977201899,2,1
1206,114,10/15/21,28,20,9/25/21,0.231581983,2,1
1228,114,10/15/21,28,20,9/25/21,0.068957927,2,1
1013,114,10/15/21,28,20,9/25/21,0.342976662,2,1
1359,118,10/15/21,28,20,9/25/21,0.315882442,2,1
1029,119,10/15/21,28,20,9/25/21,0.807061241,2,1
1023,119,10/15/21,28,20,9/25/21,0.470945364,2,1
1385,119,10/15/21,28,20,9/25/21,0.463129391,2,1
1161,329,10/15/21,28,20,9/25/21,0.551915725,2,1
1403,329,10/15/21,28,20,9/25/21,0.163363369,2,1
1419,329,10/15/21,28,20,9/25/21,0.126802871,2,1
1048,16,10/15/21,28,19,9/26/21,0.718006462,2,1
1305,16,10/15/21,28,19,9/26/21,0.939687754,2,1
1296,16,10/15/21,28,19,9/26/21,0.590850431,2,1
1123,114,10/15/21,28,19,9/26/21,0.157254847,2,1
1121,114,10/15/21,28,19,9/26/21,0.829179377,2,1
1342,118,10/15/21,28,19,9/26/21,0.816094681,2,1
1168,329,10/15/21,28,19,9/26/21,0.139411849,2,1
1424,329,10/15/21,28,19,9/26/21,0.756505727,2,1
1039,16,10/15/21,28,18,9/27/21,0.803847543,2,1
1038,16,10/15/21,28,18,9/27/21,0.540249988,2,1
1035,16,10/15/21,28,18,9/27/21,0.336346361,2,1
1036,16,10/15/21,28,18,9/27/21,0.226271578,2,1
1332,16,10/15/21,28,18,9/27/21,0.454079313,2,1
1290,16,10/15/21,28,18,9/27/21,0.753115674,2,1
1262,16,10/15/21,28,18,9/27/21,0.114407934,2,1
1234,114,10/15/21,28,18,9/27/21,0.46379175,2,1
1231,114,10/15/21,28,18,9/27/21,0.718137619,2,1
1120,114,10/15/21,28,18,9/27/21,0.797916642,2,1
1244,114,10/15/21,28,18,9/27/21,0.484254353,2,1
1344,118,10/15/21,28,18,9/27/21,0.733540415,2,1
1087,118,10/15/21,28,18,9/27/21,0.222278823,2,1
1382,119,10/15/21,28,18,9/27/21,0.899311854,2,1
1164,329,10/15/21,28,18,9/27/21,0.611809847,2,1
1404,329,10/15/21,28,18,9/27/21,0.998125287,2,1
1437,329,10/15/21,28,18,9/27/21,0.740320378,2,1
1318,16,10/19/21,36,21,9/28/21,0.284546986,3,2
1287,16,10/19/21,36,21,9/28/21,0.174377061,3,2
1294,16,10/19/21,36,21,9/28/21,0.673105114,3,2
1303,16,10/19/21,36,21,9/28/21,0.704672824,3,2
1319,16,10/19/21,36,21,9/28/21,0.23887308,3,2
1233,114,10/19/21,36,21,9/28/21,0.267328343,3,2
1116,114,10/19/21,36,21,9/28/21,0.873242579,3,2
1016,114,10/19/21,36,21,9/28/21,0.194456986,3,2
1249,114,10/19/21,36,21,9/28/21,0.811450096,3,2
1113,114,10/19/21,36,21,9/28/21,0.441311372,3,2
1370,118,10/19/21,36,21,9/28/21,0.612059639,3,2
1378,118,10/19/21,36,21,9/28/21,0.123788329,3,2
1368,118,10/19/21,36,21,9/28/21,0.672779885,3,2
1401,329,10/19/21,36,21,9/28/21,0.989928209,3,2
1159,329,10/19/21,36,21,9/28/21,0.658837969,3,2
1428,329,10/19/21,36,21,9/28/21,0.497887062,3,2
1165,329,10/19/21,36,21,9/28/21,0.491570472,3,2
1273,16,10/19/21,36,20,9/29/21,0.958448975,3,2
1291,16,10/19/21,36,20,9/29/21,0.459432822,3,2
1322,16,10/19/21,36,20,9/29/21,0.460938975,3,2
1211,114,10/19/21,36,20,9/29/21,0.26903077,3,2
1214,114,10/19/21,36,20,9/29/21,0.863472698,3,2
1107,114,10/19/21,36,20,9/29/21,0.134538418,3,2
1005,114,10/19/21,36,20,9/29/21,0.925035598,3,2
1360,118,10/19/21,36,20,9/29/21,0.704700925,3,2
1346,118,10/19/21,36,20,9/29/21,0.264361791,3,2
1162,329,10/19/21,36,20,9/29/21,0.657317184,3,2
1314,16,10/19/21,36,19,9/30/21,0.148108307,3,2
1208,114,10/19/21,36,19,9/30/21,0.891709598,3,2
1548,329,10/19/21,36,19,9/30/21,0.970703841,3,2
1288,16,10/19/21,36,18,10/1/21,0.989656939,3,2
1302,16,10/19/21,36,18,10/1/21,0.373774325,3,2
1227,114,10/19/21,36,18,10/1/21,0.232457629,3,2
1478,329,10/19/21,36,18,10/1/21,0.25616935,3,2
1468,329,10/19/21,36,18,10/1/21,0.239779478,3,2
1148,335,10/19/21,36,18,10/1/21,0.497871716,3,2
1281,16,10/20/21,12,22,9/28/21,0.927668447,3,2
1257,16,10/20/21,12,22,9/28/21,0.988350384,3,2
1312,16,10/20/21,12,22,9/28/21,0.281874985,3,2
1259,16,10/20/21,12,22,9/28/21,0.813472919,3,2
1289,16,10/20/21,12,22,9/28/21,0.628472868,3,2
1215,114,10/20/21,12,22,9/28/21,0.712353517,3,2
1119,114,10/20/21,12,22,9/28/21,0.144613848,3,2
1213,114,10/20/21,12,22,9/28/21,0.022448096,3,2
1240,114,10/20/21,12,22,9/28/21,0.665662414,3,2
1210,114,10/20/21,12,22,9/28/21,0.189950024,3,2
1353,118,10/20/21,12,22,9/28/21,0.896122789,3,2
1085,118,10/20/21,12,22,9/28/21,0.013884683,3,2
1362,118,10/20/21,12,22,9/28/21,0.568685251,3,2
1386,119,10/20/21,12,22,9/28/21,0.774693869,3,2
1398,329,10/20/21,12,22,9/28/21,0.465801644,3,2
1411,329,10/20/21,12,22,9/28/21,0.965893568,3,2
1412,329,10/20/21,12,22,9/28/21,0.676565782,3,2
1055,16,10/20/21,12,21,9/29/21,0.447208404,3,2
1060,16,10/20/21,12,21,9/29/21,0.631092557,3,2
1219,114,10/20/21,12,21,9/29/21,0.647576801,3,2
1212,114,10/20/21,12,21,9/29/21,0.203705403,3,2
1218,114,10/20/21,12,21,9/29/21,0.448599332,3,2
1356,118,10/20/21,12,21,9/29/21,0.977079869,3,2
1352,118,10/20/21,12,21,9/29/21,0.909052147,3,2
1354,118,10/20/21,12,21,9/29/21,0.628577822,3,2
1274,16,10/20/21,12,20,9/30/21,0.616576567,3,2
1285,16,10/20/21,12,20,9/30/21,0.841888957,3,2
1552,329,10/20/21,12,20,9/30/21,0.116729883,3,2
1560,16,10/20/21,12,19,10/1/21,0.997261234,3,2
1225,114,10/20/21,12,19,10/1/21,0.623925348,3,2
1109,114,10/20/21,12,19,10/1/21,0.919746285,3,2
1546,329,10/20/21,12,19,10/1/21,0.469547141,3,2
1517,329,10/20/21,12,19,10/1/21,0.977909965,3,2
