gen1_ID,MID,test_date,test_temp,test_age,wing_date,randomizer,Cohort,week
1042,16,10/12/21,12,21,9/21/21,0.506367595,1,1
1017,114,10/12/21,12,21,9/21/21,0.023645214,1,1
1015,114,10/12/21,12,21,9/21/21,0.287212205,1,1
1084,118,10/12/21,12,21,9/21/21,0.315737037,1,1
1090,118,10/12/21,12,21,9/21/21,0.963630392,1,1
1131,119,10/12/21,12,21,9/21/21,0.502759724,1,1
1138,119,10/12/21,12,21,9/21/21,0.220834806,1,1
1137,119,10/12/21,12,21,9/21/21,0.43615317,1,1
1147,335,10/12/21,12,21,9/21/21,0.49361531,1,1
1146,335,10/12/21,12,21,9/21/21,0.175243699,1,1
1149,335,10/12/21,12,21,9/21/21,0.947300924,1,1
1040,16,10/12/21,12,20,9/22/21,0.679222156,1,1
1009,114,10/12/21,12,20,9/22/21,0.412253463,1,1
1003,114,10/12/21,12,20,9/22/21,0.650692104,1,1
1027,119,10/12/21,12,20,9/22/21,0.07278006,1,1
1172,329,10/12/21,12,20,9/22/21,0.44526053,1,1
1144,335,10/12/21,12,20,9/22/21,0.20937634,1,1
1007,114,10/12/21,12,19,9/23/21,0.331882887,1,1
1078,118,10/12/21,12,19,9/23/21,0.323230412,1,1
1024,119,10/12/21,12,19,9/23/21,0.835283984,1,1
1128,119,10/12/21,12,19,9/23/21,0.8344032,1,1
1032,16,10/12/21,12,18,9/24/21,0.933769214,1,1
1037,16,10/12/21,12,18,9/24/21,0.159259445,1,1
1235,114,10/12/21,12,18,9/24/21,0.666296362,1,1
1081,118,10/12/21,12,18,9/24/21,0.789991486,1,1
1130,119,10/12/21,12,18,9/24/21,0.403079975,1,1
1141,119,10/12/21,12,18,9/24/21,0.215806083,1,1
1426,329,10/12/21,12,18,9/24/21,0.354482841,1,1
1163,329,10/12/21,12,18,9/24/21,0.124854511,1,1
1058,16,10/13/21,20,22,9/21/21,0.444725176,1,1
1011,114,10/13/21,20,22,9/21/21,0.288472427,1,1
1010,114,10/13/21,20,22,9/21/21,0.577293581,1,1
1075,118,10/13/21,20,22,9/21/21,0.376485981,1,1
1076,118,10/13/21,20,22,9/21/21,0.370739736,1,1
1127,119,10/13/21,20,22,9/21/21,0.643897776,1,1
1133,119,10/13/21,20,22,9/21/21,0.320202506,1,1
1136,119,10/13/21,20,22,9/21/21,0.776165143,1,1
1145,335,10/13/21,20,22,9/21/21,0.147007007,1,1
1143,335,10/13/21,20,22,9/21/21,0.217190875,1,1
1071,16,10/13/21,20,21,9/22/21,0.699780003,1,1
1065,16,10/13/21,20,21,9/22/21,0.514271524,1,1
1019,114,10/13/21,20,21,9/22/21,0.650687181,1,1
1022,119,10/13/21,20,21,9/22/21,0.483594814,1,1
