ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES,test_age,wing_date,randomizer,Cohort,
1053,,,,10/14/21,,,20,70,KL,,,1053,,,,18,9/26/21,0.08964353,2,
1373,,,,10/14/21,,,20,70,KL,,,1373,,,,18,9/26/21,0.899511778,2,
1265,,,,10/14/21,,,20,70,KL,,,1265,,,,19,9/25/21,0.705760715,2,
1286,,,,10/14/21,,,20,70,KL,,,1286,,,,17,9/27/21,0.621972721,2,
1268,,,,10/14/21,,,20,70,KL,,,1268,,,,17,9/27/21,0.345448943,2,
1166,,,,10/14/21,,,20,70,PK,,,1166,,,,17,9/27/21,0.195358597,2,
1030,,,,10/14/21,,,20,70,KL,,,1030,,,,19,9/25/21,0.056706478,2,
1104,,,,10/14/21,,,20,70,KL,,,1104,,,,17,9/27/21,0.42740646,2,
1169,,,,10/14/21,,,20,70,PK,,,1169,,,,18,9/26/21,0.300229058,2,
1061,,,,10/14/21,,,20,70,KL,,,1061,,,,18,9/26/21,0.252601365,2,
1269,,,,10/14/21,,,20,70,KL,,,1269,,,,17,9/27/21,0.848765018,2,
1140,,,,10/14/21,,,20,70,KL,,,1140,,,,19,9/25/21,0.816332846,2,
1122,,,,10/14/21,,,20,70,KL,,,1122,,,,17,9/27/21,0.505076251,2,
1395,,,,10/14/21,,,20,70,PK,,,1395,,,,18,9/26/21,0.31704602,2,
1307,,,,10/14/21,,,20,70,KL,,,1307,,,,19,9/25/21,0.946055901,2,
1049,,,,10/14/21,,,20,70,KL,,,1049,,,,19,9/25/21,0.783944461,2,
1105,,,,10/14/21,,,20,70,KL,,,1105,,,,19,9/25/21,0.709187795,2,
1405,,,,10/14/21,,,20,70,PK,,,1405,,,,19,9/25/21,0.33909507,2,
1118,,,,10/14/21,,,20,70,KL,,,1118,,,,19,9/25/21,0.338672138,2,
1338,,,,10/14/21,,,20,70,KL,,,1338,,,,17,9/27/21,0.406778568,2,
1429,,,,10/14/21,,,20,70,PK,,,1429,,,,17,9/27/21,0.145766759,2,
1041,,,,10/14/21,,,20,70,KL,,,1041,,,,18,9/26/21,0.855233976,2,
1114,,,,10/14/21,,,20,70,KL,,,1114,,,,19,9/25/21,0.957054044,2,
1117,,,,10/14/21,,,20,70,KL,,,1117,,,,19,9/25/21,0.551751156,2,
1020,,,,10/14/21,,,20,70,KL,,,1020,,,,18,9/26/21,0.809765002,2,
1209,,,,10/14/21,,,20,70,KL,,,1209,,,,18,9/26/21,0.965802988,2,
1108,,,,10/14/21,,,20,70,KL,,,1108,,,,17,9/27/21,0.33327286,2,
1056,,,,10/14/21,,,20,70,KL,,,1056,,,,18,9/26/21,0.339071518,2,
ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES,test_age,wing_date,randomizer,Cohort,
1293,,,,10/14/21,,,20,70,KL,,,1293,,,,17,9/27/21,0.227343512,2,
1416,,,,10/14/21,,,20,70,PK,,,1416,,,,19,9/25/21,0.984585325,2,
1339,,,,10/14/21,,,20,70,KL,,,1339,,,,18,9/26/21,0.993241703,2,
1433,,,,10/14/21,,,20,70,PK,,,1433,,,,19,9/25/21,0.366506037,2,
1170,,,,10/14/21,,,20,70,PK,,,1170,,,,17,9/27/21,0.91866532,2,
1112,,,,10/14/21,,,20,70,KL,,,1112,,,,17,9/27/21,0.846084487,2,
ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES,test_age,wing_date,randomizer,Cohort,
1036,,,,10/15/21,,,40,70,KL,,,1036,,,,18,9/27/21,0.914994171,2,
1120,,,,10/15/21,,,40,70,KL,,,1120,,,,18,9/27/21,0.347751214,2,
1404,,,,10/15/21,,,40,70,PK,,,1404,,,,18,9/27/21,0.256387206,2,
1403,,,,10/15/21,,,40,70,PK,,,1403,,,,20,9/25/21,0.400856398,2,
1256,,,,10/15/21,,,40,70,KL,,,1256,,,,20,9/25/21,0.022856287,2,
1029,,,,10/15/21,,,40,70,KL,,,1029,,,,20,9/25/21,0.395511707,2,
1023,,,,10/15/21,,,40,70,KL,,,1023,,,,20,9/25/21,0.199036868,2,
1123,,,,10/15/21,,,40,70,KL,,,1123,,,,19,9/26/21,0.187078796,2,
1419,,,,10/15/21,,,40,70,PK,,,1419,,,,20,9/25/21,0.620827911,2,
1262,,,,10/15/21,,,40,70,KL,,,1262,,,,18,9/27/21,0.669570004,2,
1382,,,,10/15/21,,,40,70,KL,,,1382,,,,18,9/27/21,0.195359284,2,
1305,,,,10/15/21,,,40,70,KL,,,1305,,,,19,9/26/21,0.928622505,2,
1035,,,,10/15/21,,,40,70,KL,,,1035,,,,18,9/27/21,0.07374958,2,
1234,,,,10/15/21,,,40,70,KL,,,1234,,,,18,9/27/21,0.093385638,2,
1344,,,,10/15/21,,,40,70,KL,,,1344,,,,18,9/27/21,0.487266149,2,
1359,,,,10/15/21,,,40,70,KL,,,1359,,,,20,9/25/21,0.895967686,2,
1296,,,,10/15/21,,,40,70,KL,,,1296,,,,19,9/26/21,0.151681182,2,
1385,,,,10/15/21,,,40,70,KL,,,1385,,,,20,9/25/21,0.658208727,2,
1203,,,,10/15/21,,,40,70,KL,,,1203,,,,20,9/25/21,0.160138591,2,
1228,,,,10/15/21,,,40,70,KL,,,1228,,,,20,9/25/21,0.062815903,2,
1047,,,,10/15/21,,,40,70,KL,,,1047,,,,20,9/25/21,0.33252801,2,
1168,,,,10/15/21,,,40,70,PK,,,1168,,,,19,9/26/21,0.325277711,2,
1437,,,,10/15/21,,,40,70,PK,,,1437,,,,18,9/27/21,0.719887731,2,
1290,,,,10/15/21,,,40,70,KL,,,1290,,,,18,9/27/21,0.036746846,2,
1342,,,,10/15/21,,,40,70,KL,,,1342,,,,19,9/26/21,0.329044437,2,
ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES,test_age,wing_date,randomizer,Cohort,
1048,,,,10/15/21,,,40,70,KL,,,1048,,,,19,9/26/21,0.756573349,2,
1424,,,,10/15/21,,,40,70,PK,,,1424,,,,19,9/26/21,0.004426866,2,
1332,,,,10/15/21,,,40,70,KL,,,1332,,,,18,9/27/21,0.132893619,2,
1051,,,,10/15/21,,,40,70,KL,,,1051,,,,20,9/25/21,0.451586381,2,
1283,,,,10/15/21,,,40,70,KL,,,1283,,,,20,9/25/21,0.042999426,2,
1164,,,,10/15/21,,,40,70,PK,,,1164,,,,18,9/27/21,0.921385272,2,
1013,,,,10/15/21,,,40,70,KL,,,1013,,,,20,9/25/21,0.259378733,2,
1161,,,,10/15/21,,,40,70,PK,,,1161,,,,20,9/25/21,0.075656625,2,
1206,,,,10/15/21,,,40,70,KL,,,1206,,,,20,9/25/21,0.683971488,2,
1255,,,,10/15/21,,,40,70,KL,,,1255,,,,20,9/25/21,0.941867352,2,
1087,,,,10/15/21,,,40,70,KL,,,1087,,,,18,9/27/21,0.89000654,2,
1121,,,,10/15/21,,,40,70,KL,,,1121,,,,19,9/26/21,0.925603825,2,
1038,,,,10/15/21,,,40,70,KL,,,1038,,,,18,9/27/21,0.591354719,2,
1244,,,,10/15/21,,,40,70,KL,,,1244,,,,18,9/27/21,0.845572272,2,
1039,,,,10/15/21,,,40,70,KL,,,1039,,,,18,9/27/21,0.288946281,2,
1231,,,,10/15/21,,,40,70,KL,,,1231,,,,18,9/27/21,0.716520388,2,
ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES,test_age,wing_date,randomizer,Cohort,
1233,,,,10/19/21,,,36,70,KL,,,1233,,,,21,9/28/21,0.265341093,3,
1107,,,,10/19/21,,,36,70,KL,,,1107,,,,20,9/29/21,0.283951085,3,
1478,,,,10/19/21,,,36,70,PK,,,1478,,,,18,10/1/21,0.598969589,3,
1303,,,,10/19/21,,,36,70,KL,,,1303,,,,21,9/28/21,0.106838178,3,
1287,,,,10/19/21,,,36,70,KL,,,1287,,,,21,9/28/21,0.583093276,3,
1005,,,,10/19/21,,,36,70,KL,,,1005,,,,20,9/29/21,0.607929701,3,
1294,,,,10/19/21,,,36,70,KL,,,1294,,,,21,9/28/21,0.464298301,3,
1360,,,,10/19/21,,,36,70,KL,,,1360,,,,20,9/29/21,0.729251316,3,
1302,,,,10/19/21,,,36,70,KL,,,1302,,,,18,10/1/21,0.545854393,3,
1273,,,,10/19/21,,,36,70,KL,,,1273,,,,20,9/29/21,0.625934775,3,
1249,,,,10/19/21,,,36,70,KL,,,1249,,,,21,9/28/21,0.111437276,3,
1211,,,,10/19/21,,,36,70,KL,,,1211,,,,20,9/29/21,0.282582903,3,
1378,,,,10/19/21,,,36,70,KL,,,1378,,,,21,9/28/21,0.739386187,3,
1113,,,,10/19/21,,,36,70,KL,,,1113,,,,21,9/28/21,0.319184102,3,
1368,,,,10/19/21,,,36,70,KL,,,1368,,,,21,9/28/21,0.745222859,3,
ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES,test_age,wing_date,randomizer,Cohort,
1214,,,,10/19/21,,,36,70,KL,,,1214,,,,20,9/29/21,0.241964003,3,
1401,,,,10/19/21,,,36,70,PK,,,1401,,,,21,9/28/21,0.37756433,3,
1288,,,,10/19/21,,,36,70,KL,,,1288,,,,18,10/1/21,0.376529706,3,
1159,,,,10/19/21,,,36,70,PK,,,1159,,,,21,9/28/21,0.295645047,3,
1319,,,,10/19/21,,,36,70,KL,,,1319,,,,21,9/28/21,0.073365761,3,
1116,,,,10/19/21,,,36,70,KL,,,1116,,,,21,9/28/21,0.958959947,3,
1208,,,,10/19/21,,,36,70,KL,,,1208,,,,19,9/30/21,0.277127204,3,
1370,,,,10/19/21,,,36,70,KL,,,1370,,,,21,9/28/21,0.187431576,3,
1468,,,,10/19/21,,,36,70,PK,,,1468,,,,18,10/1/21,0.482723574,3,
1548,,,,10/19/21,,,36,70,PK,,,1548,,,,19,9/30/21,0.308442701,3,
1322,,,,10/19/21,,,36,70,KL,,,1322,,,,20,9/29/21,0.322290511,3,
1162,,,,10/19/21,,,36,70,PK,,,1162,,,,20,9/29/21,0.618905919,3,
1346,,,,10/19/21,,,36,70,KL,,,1346,,,,20,9/29/21,0.568395306,3,
1165,,,,10/19/21,,,36,70,PK,,,1165,,,,21,9/28/21,0.33962218,3,
1148,,,,10/19/21,,,36,70,PK,,,1148,,,,18,10/1/21,0.920187229,3,
1016,,,,10/19/21,,,36,70,KL,,,1016,,,,21,9/28/21,0.783056455,3,
1291,,,,10/19/21,,,36,70,KL,,,1291,,,,20,9/29/21,0.979527837,3,
1318,,,,10/19/21,,,36,70,KL,,,1318,,,,21,9/28/21,0.475130479,3,
1428,,,,10/19/21,,,36,70,PK,,,1428,,,,21,9/28/21,0.094890947,3,
1227,,,,10/19/21,,,36,70,KL,,,1227,,,,18,10/1/21,0.033160931,3,
1314,,,,10/19/21,,,36,70,KL,,,1314,,,,19,9/30/21,0.904088369,3,
ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES,test_age,wing_date,randomizer,Cohort,
1546,,,,10/20/21,,,20,70,PK,,,1546,,,,19,10/1/21,0.05215029,3,
1119,,,,10/20/21,,,20,70,KL,,,1119,,,,22,9/28/21,0.627672083,3,
1055,,,,10/20/21,,,20,70,KL,,,1055,,,,21,9/29/21,0.574420821,3,
