gen1_ID,MID,collect_date,hatch_date,wing_date,death_date,pop,sex,S-wing,viable,notes,
1091,118,8.19.21,,,,KL,,,N,,
1092,118,8.19.21,8.29.21,9.27.21,,KL,M,Y,Y,,
1093,118,8.19.21,,,,KL,,,N,,
1094,118,8.19.21,,,,KL,,,N,,
1095,118,8.19.21,,,,KL,,,N,,
1096,211,8.19.21,,,,KL,,,N,,
1097,211,8.19.21,,,,KL,,,N,,
1098,211,8.19.21,,,,KL,,,N,,
1099,211,8.19.21,,,,KL,,,N,,
1100,211,8.19.21,,,,KL,,,N,,
1101,211,8.19.21,,,,KL,,,N,,
1102,211,8.19.21,,,,KL,,,N,,
gen1_ID,MID,collect_date,hatch_date,wing_date,death_date,pop,sex,S-wing,viable,notes,
1103,211,8.19.21,,,,KL,,,N,,
1104,114,8.19.21,8.29.21,9.27.21,,KL,M,N,Y,,
1105,114,8.19.21,8.29.21,9.25.21,,KL,F,N,Y,,
1106,114,8.19.21,8.29.21,,9.11.21,KL,,,Y,,
1107,114,8.19.21,8.29.21,9.29.21,10.05.21,KL,M,N,Y,,
1108,114,8.19.21,8.29.21,9.27.21,,KL,M,N,Y,,
1109,114,8.19.21,8.29.21,10.01.21,,KL,F,N,Y,,
1110,114,8.19.21,,,,KL,,,N,,
1111,114,8.19.21,8.30.21,10.04.21,,KL,F,N,Y,10.2-10.4,
1112,114,8.19.21,8.29.21,9.27.21,10.08.21,KL,M,N,Y,,
1113,114,8.19.21,8.29.21,9.28.21,,KL,F,N,Y,,
1114,114,8.19.21,8.29.21,9.25.21,,KL,M,N,Y,,
1115,114,8.19.21,,,,KL,,,N,,
1116,114,8.19.21,8.29.21,9.28.21,10.18.21,KL,M,N,Y,,
1117,114,8.19.21,8.29.21,9.25.21,,KL,M,N,Y,,
1118,114,8.19.21,8.29.21,9.25.21,,KL,F,N,Y,,
1119,114,8.19.21,8.29.21,9.28.21,,KL,M,Y,Y,,
1120,114,8.19.21,8.29.21,9.27.21,,KL,M,N,Y,,
1121,114,8.19.21,8.29.21,9.26.21,,KL,F,N,Y,,
1122,114,8.19.21,8.27.21,9.27.21,,KL,M,N,Y,,
1123,114,8.19.21,8.27.21,9.26.21,,KL,F,N,Y,,
1124,114,8.19.21,8.29.21,,9.21.21,KL,,,Y,,
1125,114,8.19.21,8.29.21,10.04.21,,KL,M,N,Y,10.2-10.4,
1126,119,8.19.21,,,,KL,,,,,
1127,119,8.19.21,8.26.21,9.21.21,,KL,M,N,Y,,
1128,119,8.19.21,8.27.21,9.23.21,,KL,M,N,Y,,
1129,119,8.19.21,8.27.21,9.23.21,,KL,M,Y,Y,,
1130,119,8.19.21,8.25.21,9.24.21,,KL,F,Y,Y,,
1131,119,8.19.21,8.26.21,9.21.21,,KL,M,N,Y,,
1132,119,8.19.21,,,9.1.21,KL,,,Y,,
1133,119,8.19.21,8.25.21,9.21.21,,KL,F,Y,Y,,
1134,119,8.19.21,8.25.21,9.23.21,,KL,M,N,Y,,
1135,119,8.19.21,8.26.21,,9.11.21,KL,,,Y,,
1136,119,8.19.21,8.25.21,9.21.21,,KL,F,Y,Y,,
1137,119,8.19.21,8.26.21,9.21.21,,KL,F,Y,Y,,
1138,119,8.19.21,8.26.21,9.21.21,,KL,M,Y,Y,,
1139,119,8.19.21,8.27.21,9.24.21,,KL,F,N,Y,,
1140,119,8.19.21,8.27.21,9.25.21,,KL,M,N,Y,,
1141,119,8.19.21,8.26.21,9.24.21,,KL,F,N,Y,,
1142,335,8.17.21,8.19.21,9.24.21,,PK,M,N,Y,,
1143,335,8.17.21,8.19.21,9.21.21,,PK,M,N,Y,,
1144,335,8.17.21,8.19.21,9.22.21,,PK,M,N,Y,,
1145,335,8.17.21,8.19.21,9.21.21,,PK,F,N,Y,,
1146,335,8.17.21,8.19.21,9.21.21,,PK,M,N,Y,,
1147,335,8.17.21,8.19.21,9.21.21,,PK,M,N,Y,,
1148,335,8.17.21,8.19.21,10.01.21,,PK,F,Y,Y,,
1149,335,8.17.21,8.19.21,9.21.21,,PK,F,Y,Y,,
1150,335,8.17.21,8.27.21,,9.23.21,PK,,,Y,,
1151,335,8.17.21,,,,PK,,,N,,
1152,335,8.17.21,,,,PK,,,N,,
1153,335,8.17.21,,,,PK,,,N,,
gen1_ID,MID,collect_date,hatch_date,wing_date,death_date,pop,sex,S-wing,viable,notes,
1154,335,8.17.21,,,,PK,,,N,,
1155,335,8.17.21,,,,PK,,,N,,
1156,335,8.17.21,,,,PK,,,N,,
1157,335,8.17.21,,,,PK,,,N,,
1158,335,8.17.21,,,,PK,,,N,,
1159,329,8.19.21,8.30.21,9.28.21,,PK,M,N,Y,,
1160,329,8.19.21,8.29.21,,8.31.21,PK,,,Y,escaped,
1161,329,8.19.21,8.30.21,9.25.21,,PK,F,N,Y,,
1162,329,8.19.21,8.29.21,9.29.21,,PK,F,Y,Y,,
1163,329,8.19.21,8.30.21,9.24.21,,PK,F,Y,Y,,
1164,329,8.19.21,8.30.21,9.27.21,,PK,F,Y,Y,,
1165,329,8.19.21,8.30.21,9.28.21,,PK,F,Y,Y,,
1166,329,8.19.21,8.30.21,9.27.21,,PK,M,Y,Y,,
